DATE,REGION,REVENUE,COGS,FORECASTED_REVENUE
15-02-2023,West Zone,382.4,1748.57,2024.07
15-02-2023,South Zone,7696.04,0.65,5263.94
15-02-2023,Central Zone,3308.74,77.39,828.98
16-02-2023,North Zone,363.35,1742.98,1190.62
16-02-2023,East Zone,1346.73,49.99,2932.52
16-02-2023,West Zone,5289.21,1562.23,628.3
16-02-2023,South Zone,1140.47,1321.51,14.04
16-02-2023,Central Zone,3964.07,1202.83,7224.8
17-02-2023,North Zone,359.98,466.61,2307.26
17-02-2023,East Zone,2217,253.18,513.38
17-02-2023,West Zone,1503.93,2134.4,5897.46
17-02-2023,South Zone,6923.2,1433.66,1740.71
17-02-2023,Central Zone,285.15,381.56,816.81
18-02-2023,North Zone,2030.44,382.97,211.95
18-02-2023,East Zone,1002.57,530.79,2009.93
18-02-2023,West Zone,2545.65,28.03,8403.32
18-02-2023,South Zone,609.81,4086,836.03
18-02-2023,Central Zone,6965.81,896.74,2424.88
19-02-2023,North Zone,1367.17,1003.66,6988.85
19-02-2023,East Zone,1341.35,1127.87,3595.64
19-02-2023,West Zone,3662.39,2377.46,330.17
19-02-2023,South Zone,5649.73,1440.72,3465.86
19-02-2023,Central Zone,1616.47,108.33,195.46
20-02-2023,North Zone,4052.43,861.68,5458.64
20-02-2023,East Zone,426.91,1109.11,945.06
20-02-2023,West Zone,799.06,2305.76,1553.62
20-02-2023,South Zone,3243.71,2789.94,5071.23
20-02-2023,Central Zone,7179.86,9.42,1539.96
21-02-2023,North Zone,436.74,1633.26,668.1
21-02-2023,East Zone,505.58,54.02,10697.83
21-02-2023,West Zone,12954.96,3228.33,735.37
21-02-2023,South Zone,335.15,491.05,484.4
21-02-2023,Central Zone,153.59,724.82,1590
22-02-2023,North Zone,5464.45,428.61,1465.95
22-02-2023,East Zone,1830.21,3270.04,9732.24
22-02-2023,West Zone,2544.32,578.05,2074.48
22-02-2023,South Zone,6928.53,2190.44,4210.5
22-02-2023,Central Zone,3116.23,1534.22,3764.02
23-02-2023,North Zone,5785.9,1632.63,792.78
23-02-2023,East Zone,275.6,181.16,119.53
23-02-2023,West Zone,2132.54,598.7,196.49
23-02-2023,South Zone,2214.14,1474.8,7583.94
23-02-2023,Central Zone,612.27,775.43,3028.68
24-02-2023,North Zone,9951.93,16.71,515.1
24-02-2023,East Zone,558.03,396.32,2171.62
24-02-2023,West Zone,160.29,1562.67,2794.3
24-02-2023,South Zone,1405.93,1281.58,3119.52
24-02-2023,Central Zone,12.59,3073.56,2526.96
25-02-2023,North Zone,2118.69,2182.73,513.1
25-02-2023,East Zone,5975.34,1353.93,3927.44
25-02-2023,West Zone,1793.86,170.52,142.53
25-02-2023,South Zone,752.01,390.97,4090.11
25-02-2023,Central Zone,973.2,2809.91,2141.82
26-02-2023,North Zone,7662.73,971.15,6791.37
26-02-2023,East Zone,3392.93,596.9,4080.88
26-02-2023,West Zone,549.94,4802.22,4655.04
26-02-2023,South Zone,1944.83,1765.71,192.95
26-02-2023,Central Zone,2980.65,1750.75,163.48
27-02-2023,North Zone,2568.96,542.37,3358.12
27-02-2023,East Zone,5614.71,100.16,690.86
27-02-2023,West Zone,23.05,4186.92,3306.24
27-02-2023,South Zone,1205.02,90.4,2441.7
27-02-2023,Central Zone,3121.18,1118.64,1671.6
28-02-2023,North Zone,3503.34,93.69,455.76
28-02-2023,East Zone,497.37,25.76,280.82
28-02-2023,West Zone,871.76,17.84,1991.24
28-02-2023,South Zone,6327.5,5098.27,10660.02
28-02-2023,Central Zone,3463.14,1107.57,1054.33
01-03-2023,North Zone,2697.52,2292.31,1810.23
01-03-2023,East Zone,4480.84,379.06,3386.7
01-03-2023,West Zone,2314.87,1664.19,2265.51
01-03-2023,South Zone,994.98,1819.85,83.87
01-03-2023,Central Zone,1956.05,412.08,3921.36
02-03-2023,North Zone,1034.85,508.11,3734.92
02-03-2023,East Zone,2352.17,1805.11,1364.48
02-03-2023,West Zone,7885.42,710.17,1294.37
02-03-2023,South Zone,310.95,170.66,2688.07
02-03-2023,Central Zone,6.31,2578.33,2665.98
03-03-2023,North Zone,2543.16,1706.61,385.41
03-03-2023,East Zone,3886.93,1999.94,1022.96
03-03-2023,West Zone,2752.29,1160.13,3189.42
03-03-2023,South Zone,282.95,629.67,2474.73
03-03-2023,Central Zone,1638.42,1142.38,3468.4
04-03-2023,North Zone,1942.26,3274.34,701.49
04-03-2023,East Zone,234.43,19.36,2929.34
04-03-2023,West Zone,5048.41,418.99,6245.99
04-03-2023,South Zone,5260.25,393.25,6628.86
04-03-2023,Central Zone,4077.95,2735.71,377.07
05-03-2023,North Zone,4824.54,934.7,4289.47
05-03-2023,East Zone,4121.2,2201.67,3391.74
05-03-2023,West Zone,168.27,1818.52,1478.94
05-03-2023,South Zone,1350.25,715.56,1249.57
05-03-2023,Central Zone,917.57,665.21,101.46
06-03-2023,North Zone,1400.43,84.15,2312.35
06-03-2023,East Zone,5076.92,1754.12,1704.27
06-03-2023,West Zone,1957.15,367.71,2624.63
06-03-2023,South Zone,536.68,2973.2,5732.79
06-03-2023,Central Zone,2994.64,297.33,730.65
07-03-2023,North Zone,3587.23,1826.89,1348.77
07-03-2023,East Zone,2111.84,182.59,3247.54
07-03-2023,West Zone,4765.08,1043.89,589.68
07-03-2023,South Zone,1069.55,247.29,4110.73
07-03-2023,Central Zone,2153.55,2835.11,5574.65
08-03-2023,North Zone,16.07,1132.5,490.82
08-03-2023,East Zone,3300.53,4500.27,504.05
08-03-2023,West Zone,5049.79,180.85,4247.75
08-03-2023,South Zone,1895.91,2306.36,2984.85
08-03-2023,Central Zone,7947.63,1576.83,9588.39
09-03-2023,North Zone,1374.04,670.83,5458.76
09-03-2023,East Zone,687.42,24.74,2349.5
09-03-2023,West Zone,1650.52,1824.07,239.9
09-03-2023,South Zone,4884.27,141.5,350.96
09-03-2023,Central Zone,2374.76,2267.18,2006.18
10-03-2023,North Zone,9292.42,2031.83,1247.73
10-03-2023,East Zone,1840.05,308.21,9848.44
10-03-2023,West Zone,3330.74,4285.42,3765.43
10-03-2023,South Zone,3068.99,1997.11,1083.57
10-03-2023,Central Zone,847.25,1176.83,1516.77
11-03-2023,North Zone,5549.08,2030.72,466.67
11-03-2023,East Zone,286.29,966.08,1591.54
11-03-2023,West Zone,3480.14,149.02,2126.68
11-03-2023,South Zone,797.03,1549.46,5690.3
11-03-2023,Central Zone,848.44,823.16,1049.39
12-03-2023,North Zone,11172.22,5226.51,3794.52
12-03-2023,East Zone,1389.09,88.69,420.06
12-03-2023,West Zone,2098.31,237.12,7535.91
12-03-2023,South Zone,3130.94,3125.33,3304.54
12-03-2023,Central Zone,1974.03,904.58,2891.19
13-03-2023,North Zone,3834.47,383.37,634.2
13-03-2023,East Zone,78.15,669.79,4130.21
13-03-2023,West Zone,3345.61,141.78,823.5
13-03-2023,South Zone,1161.87,1795.14,4892.59
13-03-2023,Central Zone,6266.41,4513.81,4616.37
14-03-2023,North Zone,2488.28,1290.27,8389.37
14-03-2023,East Zone,500.29,1569.49,4568.02
14-03-2023,West Zone,1010.91,529.36,1358.77
14-03-2023,South Zone,11871.78,1883.13,2138.75
14-03-2023,Central Zone,3896.35,3769.66,2950.17
15-03-2023,North Zone,6335.62,86.68,1933.27
15-03-2023,East Zone,258.69,447.23,9996.21
15-03-2023,West Zone,1212.05,5036.27,2478.61
15-03-2023,South Zone,8030.55,2984.1,865.79
15-03-2023,Central Zone,211.55,132.99,381.09
16-03-2023,North Zone,5086.89,1657.34,4069.01
16-03-2023,East Zone,389.13,2840.15,1159.76
16-03-2023,West Zone,6073.94,2403.81,7195.13
16-03-2023,South Zone,5032.15,328.92,5583.21
16-03-2023,Central Zone,810.53,1169.93,461.66
17-03-2023,North Zone,2519.48,502.39,1049.01
17-03-2023,East Zone,3001.6,251.66,4430.87
17-03-2023,West Zone,2452.77,2660.42,2288.09
17-03-2023,South Zone,1161.58,1112.62,2663.72
17-03-2023,Central Zone,1256.45,379.01,394.64
18-03-2023,North Zone,7601.72,2052.4,3822.48
18-03-2023,East Zone,1064.71,1559.31,1228.11
18-03-2023,West Zone,2146.02,532.4,5206.01
18-03-2023,South Zone,421.73,2006.71,320.27
18-03-2023,Central Zone,1593.89,1106.42,3416.84
19-03-2023,North Zone,149.16,2912.69,1970.67
19-03-2023,East Zone,4638.37,327.2,576.5
19-03-2023,West Zone,2005.73,1564.38,1903.57
19-03-2023,South Zone,1835.62,220.95,4601.9
19-03-2023,Central Zone,2573.09,1527.86,1817.6
20-03-2023,North Zone,1559.11,158.77,1125.66
20-03-2023,East Zone,2300.19,555.13,2022.94
20-03-2023,West Zone,4602.12,1579.05,2397.43
20-03-2023,South Zone,1309.03,2493.68,2063.02
20-03-2023,Central Zone,3190.95,517.19,6382.89
21-03-2023,North Zone,3561.62,92.37,4099.34
21-03-2023,East Zone,618.7,2222.96,959.22
21-03-2023,West Zone,1526.59,93.62,2137.21
21-03-2023,South Zone,3344.92,903.46,3953.63
21-03-2023,Central Zone,2135.45,1682.99,641.92
22-03-2023,North Zone,4113.87,297.5,175.87
22-03-2023,East Zone,859.8,1686.26,5194.59
22-03-2023,West Zone,2079.37,2128.02,4928.84
22-03-2023,South Zone,5623.33,1992.7,1341.08
22-03-2023,Central Zone,503.46,86.14,1163.63
23-03-2023,North Zone,6023.1,1921.14,2911.7
23-03-2023,East Zone,1584.81,320.03,407.55
23-03-2023,West Zone,1747.28,673.08,4443.45
23-03-2023,South Zone,2700.91,4947.52,4722
23-03-2023,Central Zone,2086.53,100.44,2002.06
24-03-2023,North Zone,2167.08,2040.04,566.31
24-03-2023,East Zone,258.32,826.15,6825.06
24-03-2023,West Zone,174.01,32.81,615.19
24-03-2023,South Zone,382.43,1446.01,847.67
24-03-2023,Central Zone,7659.63,2009,1337.26
25-03-2023,North Zone,241.73,776.21,3994.57
25-03-2023,East Zone,1755.51,1991.65,3301.71
25-03-2023,West Zone,3447.19,3062.38,1.12
25-03-2023,South Zone,4150.48,1065.8,10764.16
25-03-2023,Central Zone,7329.81,3153.76,130.48
26-03-2023,North Zone,9854.4,888.55,4282.66
26-03-2023,East Zone,1484.99,2751.36,3474.24
26-03-2023,West Zone,509.09,2498.66,5540.58
26-03-2023,South Zone,1356.03,2090.2,756.5
26-03-2023,Central Zone,2461.5,873.02,397.69
27-03-2023,North Zone,1558.17,1343.28,362.65
27-03-2023,East Zone,764.92,499.74,7562.17
27-03-2023,West Zone,4154.48,693.07,1106.23
27-03-2023,South Zone,4251.39,2438.62,1193.65
27-03-2023,Central Zone,1924.93,837.37,1701.43
28-03-2023,North Zone,2621.08,3583.58,1425.19
28-03-2023,East Zone,2052.52,2723.67,1048.58
28-03-2023,West Zone,4340.63,1225.96,4080.27
28-03-2023,South Zone,6212.51,510.28,3122.93
28-03-2023,Central Zone,5.74,1071.66,4589.87
29-03-2023,North Zone,5776.08,491.74,2562.76
29-03-2023,East Zone,670.14,1122.93,4819.64
29-03-2023,West Zone,809.31,69.05,93.34
29-03-2023,South Zone,728.27,2175.63,2035.01
29-03-2023,Central Zone,2955.61,1062.11,1216.49
30-03-2023,North Zone,5709.77,163.3,7714.16
30-03-2023,East Zone,843.21,865.53,1285.52
30-03-2023,West Zone,2243.19,487.81,4651.45
30-03-2023,South Zone,11.68,2605.61,1556.33
30-03-2023,Central Zone,6951.61,2515.34,1324.95
31-03-2023,North Zone,2096.21,875,1934.46
31-03-2023,East Zone,673.97,2755.5,319.87
31-03-2023,West Zone,8407.07,123.19,6680.79
31-03-2023,South Zone,1923.17,3393.89,10378.25
31-03-2023,Central Zone,6192.54,4238.94,83.42
01-04-2023,North Zone,300.72,148.6,2339.75
01-04-2023,East Zone,2670.59,2038.2,1832.25
01-04-2023,West Zone,6869.79,952.42,5220.55
01-04-2023,South Zone,194.53,1617.86,2560.04
01-04-2023,Central Zone,3150.06,1132.76,1200.6
02-04-2023,North Zone,2585.23,178.14,6200.38
02-04-2023,East Zone,202.77,718.2,977.35
02-04-2023,West Zone,2830.2,4820.23,1270.77
02-04-2023,South Zone,2526.45,124.82,1820.1
02-04-2023,Central Zone,8529.45,3128.51,4739.91
03-04-2023,North Zone,1452.78,1409.33,1415.07
03-04-2023,East Zone,4946.26,723.37,483.12
03-04-2023,West Zone,495.48,1053.94,3332.21
03-04-2023,South Zone,1717.2,371.94,5456.36
03-04-2023,Central Zone,2706.26,1100.71,462.36
04-04-2023,North Zone,696.88,1178.2,3298.68
04-04-2023,East Zone,766.63,492.65,60.52
04-04-2023,West Zone,979.3,162.02,3033.33
04-04-2023,South Zone,4724.08,2932.4,7730.65
04-04-2023,Central Zone,9996.38,4608.31,1541.92
05-04-2023,North Zone,1479.68,139.45,569.01
05-04-2023,East Zone,8638.22,110.16,2773.5
05-04-2023,West Zone,1731.23,866.65,1332.32
05-04-2023,South Zone,606.93,5395.6,5802.02
05-04-2023,Central Zone,438,919.56,1664.85
06-04-2023,North Zone,2238.87,252.33,9465.69
06-04-2023,East Zone,2213.86,3630.93,915.93
06-04-2023,West Zone,4361.08,258.31,824.95
06-04-2023,South Zone,1975.02,1120.85,111.66
06-04-2023,Central Zone,1043.08,115.04,1536.89
07-04-2023,North Zone,953.93,2153.73,744.67
07-04-2023,East Zone,7975.96,337.25,1702.47
07-04-2023,West Zone,2308.52,703.6,1994.12
07-04-2023,South Zone,4460.11,1235.28,579.36
07-04-2023,Central Zone,166.61,3118.95,9941.46
08-04-2023,North Zone,646.03,1137.54,780.48
08-04-2023,East Zone,2374.52,278.82,4396.02
08-04-2023,West Zone,296.41,1974.58,2273.37
08-04-2023,South Zone,2442.44,1425.87,1798.47
08-04-2023,Central Zone,4441.68,27.26,1683.82
09-04-2023,North Zone,5820.91,357.72,4378.58
09-04-2023,East Zone,489.77,509.51,6238.04
09-04-2023,West Zone,1801.31,1513.28,2077.35
09-04-2023,South Zone,6433.68,1708.01,1515.17
09-04-2023,Central Zone,3743.73,5966.22,5188.21
10-04-2023,North Zone,3365.67,652.77,865.09
10-04-2023,East Zone,818.03,1277.08,5638.49
10-04-2023,West Zone,1155.74,1049.31,959.99
10-04-2023,South Zone,3770.46,965.24,145.15
10-04-2023,Central Zone,937.05,552.23,1753.33
11-04-2023,North Zone,4205.18,226.8,653.77
11-04-2023,East Zone,2095.34,2341.26,1150.2
11-04-2023,West Zone,4667.15,724.13,633.25
11-04-2023,South Zone,3601.38,3076.92,7965.27
11-04-2023,Central Zone,2209.12,918.83,6730.41
12-04-2023,North Zone,1630.94,238.81,1680.29
12-04-2023,East Zone,1867.15,1538.16,4144.19
12-04-2023,West Zone,4326.39,3547.24,656.18
12-04-2023,South Zone,2313.69,320.01,2710.99
12-04-2023,Central Zone,2561.91,577.02,2532.2
13-04-2023,North Zone,8582.11,805.33,3439.17
13-04-2023,East Zone,171.59,3997.71,10013.97
13-04-2023,West Zone,508.88,432.9,770.05
13-04-2023,South Zone,937.79,1522.26,2073.89
13-04-2023,Central Zone,7151.57,1239.2,1845.72
14-04-2023,North Zone,2743.15,5304.41,4189.07
14-04-2023,East Zone,8801.93,2093.05,960.43
14-04-2023,West Zone,1324.5,1035.09,1421.19
14-04-2023,South Zone,3336.56,303.96,1355.09
14-04-2023,Central Zone,3415.75,2405.54,12235.56
15-04-2023,North Zone,3461.65,457.29,6051.4
15-04-2023,East Zone,323.58,1847.22,3646.78
15-04-2023,West Zone,3972.87,438.41,1229.33
15-04-2023,South Zone,1015.95,1229.58,1378.47
15-04-2023,Central Zone,3713.48,1616.27,960.62
16-04-2023,North Zone,3527,2999.39,2836.06
16-04-2023,East Zone,4293.54,3062.45,700.48
16-04-2023,West Zone,1038.82,1434.01,1451.07
16-04-2023,South Zone,872.82,311.8,939.77
16-04-2023,Central Zone,6029.39,80.67,9769.21
17-04-2023,North Zone,10972.67,2877.17,8832.26
17-04-2023,East Zone,1046.39,920.26,1079.26
