IDENTIFIER,TITLE
CLRNMTHEMP11M,Cumulative Rainfall during the month - East Madhya Pradesh
CLRNMTHNMT11M,"Cumulative Rainfall during the month - Nagaland, Manipur, Mizoram, Tripura"
CLRNMTHODI11M,Cumulative Rainfall during the month - Orissa
LAWRAGGAVG13M,Daily Average Wage Rate in Rural Areas for Men (Blended Series)
MOINCPAALL12M,CPI - All Commodities (2012 series)
NAGDREAGDP12A,Real GDP (2011-12 Series)
INAUREG2WL11M,Monthly Total Vehicle Registrations (ex Telangana) - Two Wheelers (by Category)
EXSTMDSVCS11M,Services Imports (Monthly   USD)
IFCADSNPAP11A,Number of Passengers carried by Private Airlines on Scheduled Domestic Flights (Annual)
EXSTXDSVCS11M,Services Exports (Monthly   USD)
BKDESCBMET23Q,"Outstanding Deposits of Scheduled Commercial Banks in Metropolitan Areas (2011 Census, ex RRBs)"
CLRNMTHARP11M,Cumulative Rainfall during the month - Arunachal Pradesh
CLRNMTHSIK11M,Cumulative Rainfall during the month - South Interior Karnataka
CLRNMTHVID11M,Cumulative Rainfall during the month - Vidarbha
CLRNMTHWRJ11M,Cumulative Rainfall during the month - West Rajasthan
ENELDEMAND11M,Electricity Demand (Monthly)
INAURPVELE11M,Passenger Vehicle Registrations by Fuel - Electric (monthly ex Telangana)
GFSFSGTCOT11M,State Government Capital Outlay (Monthly)
IFCAISCRGO11M,Total International Cargo carried on Scheduled Flights of Indian Airlines (Monthly)
IFCAISFTTT11M,Total International Freight Arriving into or Departing from India (Monthly)
CPDMMPPGRW11D,Median Daily Mandi Price of - Bengal Gram (Gram)(Whole)
CPDMMPPLMN11D,Median Daily Mandi Price of - Lemon
CPDMMPPMGO11D,Median Daily Mandi Price of - Mango
CPDMMPPMGR11D,Median Daily Mandi Price of - Mango (Raw-Ripe)
CPDMMPPMSD11D,Median Daily Mandi Price of - Masur Dal
CPDMMPPPNA11D,Median Daily Mandi Price of - Pineapple
CPDMMPPPPY11D,Median Daily Mandi Price of - Papaya
CPDMMPPRCE11D,Median Daily Mandi Price of - Rice
CPDMMPPSFL11D,Median Daily Mandi Price of - Sunflower
CPDMMPPSOY11D,Median Daily Mandi Price of - Soyabean
CPDMMPPURD11D,Median Daily Mandi Price of - Black Gram Dal (Urd Dal)
CPDMMPQAPL11D,Total Daily Mandi Arrivals of - Apple
CPDMMPQARD11D,Total Daily Mandi Arrivals of - Arhar Dal (Tur Dal)
CPDMMPPMZE11D,Median Daily Mandi Price of - Maize
CPDMMPPPDC11D,Median Daily Mandi Price of - Paddy (Common)
CPDMMPQCTN11D,Total Daily Mandi Arrivals of - Cotton
CPDMMPQGCH11D,Total Daily Mandi Arrivals of - Green Chilli
CPDMMPQGRD11D,Total Daily Mandi Arrivals of - Bengal Gram Dal (Chana Dal)
CPDMMPQGRN11D,Total Daily Mandi Arrivals of - Groundnut
CPDMMPQGRW11D,Total Daily Mandi Arrivals of - Bengal Gram (Gram)(Whole)
CPDMMPQJWR11D,Total Daily Mandi Arrivals of - Jowar (Sorghum)
CPDMMPQLMN11D,Total Daily Mandi Arrivals of - Lemon
CPDMMPQMGW11D,Total Daily Mandi Arrivals of - Green Gram (Whole Moong)
CPDMMPQMSW11D,Total Daily Mandi Arrivals of - Masur (whole)
CPDMMPQORG11D,Total Daily Mandi Arrivals of - Orange
CPDMMPQPOM11D,Total Daily Mandi Arrivals of - Pomegranate
CPDMMPQPTO11D,Total Daily Mandi Arrivals of - Potato
CPDMMPQRUB11D,Total Daily Mandi Arrivals of - Rubber
CPDMMPQSFL11D,Total Daily Mandi Arrivals of - Sunflower
CPDMMPQSOY11D,Total Daily Mandi Arrivals of - Soyabean
CPDMMPQSPT11D,Total Daily Mandi Arrivals of - Sweet Potato
CPDMMPQTMR11D,Total Daily Mandi Arrivals of - Turmeric
CPDMPGCCHE11W,Commercial LPG Cycliner Price (19kg cyclinder) - Chennai
CPDMPGCKOL11W,Commercial LPG Cycliner Price (19kg cyclinder) - Kolkata
CPDMPGCMET11W,Commercial LPG Cycliner Price (19kg cyclinder) - Average of Metros
CPDMPGRDEL11W,Unsubsidised LPG Cyclinder Price (14.2kg cyclinder) - Delhi
CPDMRFDDEL11M,Daily Diesel Price in Delhi
CPDMRFDMUM11M,Daily Diesel Price in Mumbai
CPDMRFPCHE11M,Daily Petrol Price in Chennai
CPWBCOALAU11M,International Coal price - New Castle (monthly average)
CPWBCOFFEA11M,International Coffee price - Arabica (monthly average)
CPWBCOPPER11M,International Copper price (monthly average)
CPWBDUBAIO11M,International Crude Oil prices - Dubai Fateh (monthly average)
CPWBIDXFOD10M,World Bank Commodity Price Index - Food
CPWBIDXOLM10M,World Bank Commodity Price Index - Oils and Meals
CPWBIDXORM10M,World Bank Commodity Price Index - Other Raw Materials
CPWBMAIZEP11M,International Maize price (monthly average)
CPWBNATGSE11M,International Natural Gas price - Europe (monthly average)
CPWBNATGSU11M,International Natural Gas price - US (monthly average)
CPWBPALMOL11M,International Palm oil price (monthly average)
CPWBRICETH11M,International Rice price (monthly average)
CPWBRICETHA11M,International Rice price (monthly average)
CSRGNPVTCO11M,Number of new companies registered during the month - private companies
CSRGNEWCOM11M,Number of new companies registered during the month
CUACCGEABSGLM,Current Account - Germany 
CUACCIDABSGLQ,Current Account - Indonesia 
CUACCSKABSGLM,Current Account - South Korea 
CUACCTRABSGLQ,Current Account - Turkiye 
DEBGOVPGGEGLQ,Government Debt (% of GDP) - Germany
DEBHHDPGAEGLQ,Household Sector Debt (% of GDP) - Advanced Economies
DEBHHDPGEMGLQ,Household Sector Debt (% of GDP) - Emerging Economies
DEBHHDPGGEGLQ,Household Sector Debt (% of GDP) - Germany
DEBHHDPGUSGLQ,Household Sector Debt (% of GDP) - United States
DEBNFSPGITGLQ,Non-Financial Sector Debt (% of GDP) - Italy
DEBNFSPGRUGLQ,Non-Financial Sector Debt (% of GDP) - Russia
DEBNFSPGUSGLQ,Non-Financial Sector Debt (% of GDP) - United States
DEBPNFPGMYGLQ,Private Non-Financial Sector Debt (% of GDP) - Malaysia
DMCBRBRABSGLA,Crude Birth Rate - Brazil
DMCBRITABSGLA,Crude Birth Rate - Italy
DMCBRPLABSGLA,Crude Birth Rate - Poland
DMCDRCHABSGLA,Crude Death Rate - China
DMCDREUABSGLA,Crude Death Rate - Euro Area
DMCDRJPABSGLA,Crude Death Rate - Japan
DMCRNRUPERGLA,Crude Rate of Natural Change of Population - Russia
DMCRNSAPERGLA,Crude Rate of Natural Change of Population - South Africa 
DMFPRUSABSGLA,Female Population of Reproductive Age - USA
DMIMREUABSGLA,Infant Mortality Rate  - Euro Area
DMIMRJPABSGLA,Infant Mortality Rate  - Japan
DMLEBCHABSGLA,Life Expectancy at Birth - China
DMPODGEABSGLA,Population Density - Germany 
DMPODITABSGLA,Population Density - Italy
DMPOPGEPERGLA,Population Change - Germany 
DMPOPTHABSGLA,Total Population by Sex - Thailand 
DMRPCEUPERGLA,Rate of Population Change - Euro Area
ENCOCOLDIS11A,Coal Despatches (Annual)
ENCODISPOW11M,Domestic Coal Dispatch - Power (Monthly)
DEBNFSPGCHGLQ,Non-Financial Sector Debt (% of GDP) - China
DMCRNGEPERGLA,Crude Rate of Natural Change of Population - Germany 
DMFPREUABSGLA,Female Population of Reproductive Age - Euro Area
DMLEBITABSGLA,Life Expectancy at Birth - Italy
DMMEACHABSGLA,Median Age of Population - China
DMPODFRABSGLA,Population Density - France
DMRPCMXPERGLA,Rate of Population Change - Mexico
DMSERCHABSGLA,Sex Ratio of the Total Population - China
DMSERPHABSGLA,Sex Ratio of the Total Population - Phillipines
ENCOCNSELE11A,Coal Consumption - Electricity (Annual)
ENCOCNSPAP11A,Coal Consumption - Paper (Annual)
ENCOLGDGHC11M,Domestic Lignite Dispatch - Gujarat Heavy Chemicals Ltd (Monthly)
DMMEAGEABSGLA,Median Age of Population - Germany 
ENCOLGDRSM11M,Domestic Lignite Dispatch - Rajasthan State Mines and Minerals Ltd (Monthly)
ENCOLGPGMD11M,Domestic Lignite Production - Gujarat Mineral Development Corp (Monthly)
ENELCUTHIP11M,Monthly Capacity utilisation (PLF) - thermal power (IPPs)
ENELHYSGEN11M,"Monthly Electricity generation (hydro, state sector)"
ENPTAEPDIE11M,Average Export Price - Diesel
ENPTAIPBIT11M,Average Import Price - Bitumen
ENPTAIPLPG11M,Average Import Price - LPG
ENPTBITPRO11A,Production of Petroleum Products - Bitumen (Annual)
ENPTCOKPRO11M,Production of Petroleum Products - Petroleum Coke (Monthly)
ENPTDSLIMP11A,Imports of Petroleum Products (Volume) - Diesel (Annual)
ENPTKERCON11A,Consumption of Petroleum Products - Kerosene (Annual)
ENPTLUBEXP11A,Exports of Petroleum Products (Volume) - Lube Oil & LOBs (Annual)
ENPTLUBIMP11M,Imports of Petroleum Products (Volume) - Lube Oil & LOBs (Monthly)
ENPTNAPPRO11A,Production of Petroleum Products - Naphtha (Annual)
ENPTOTRCON11M,Consumption of Petroleum Products - Others (Monthly)
EXBPCDAFDI11Q,"BoP: Foreign Direct Investment Abroad (Inflows, Quarterly, USD)"
EXBPCDIFDI11M,Foreign Direct Investment in India (Gross) (Monthly)
EXBPCDINSU11A,"BoP: Services Receipts - Insurance (Annual, USD)"
EXBPCRBPBA11Q,"BoP: Total Inflows (Quarterly, INR)"
EXBPCRCBBK11Q,"BoP: Commercial Banks (Inflows, Quarterly, INR)"
CPDMMPQGPS11D,Total Daily Mandi Arrivals of - Green Peas
CPDMMPQPPY11D,Total Daily Mandi Arrivals of - Papaya
CPWBTSUPHO11M,International Triple Superphosphate (TSP) price (monthly average)
CPWBLNGJAP11M,International LNG price - Japan (monthly average)
CUACCPHABSGLQ,Current Account - Philippines 
DEBGOVPGEUGLQ,Government Debt (% of GDP) - Euro area
DEBGOVPGFRGLQ,Government Debt (% of GDP) - France
DEBGOVPGMYGLQ,Government Debt (% of GDP) - Malaysia
DEBGOVPGTRGLQ,Government Debt (% of GDP) - Turkey
DEBNFCPGKRGLQ,Non-Financial Corporations Debt (% of GDP) - Korea
DEBNFSPGKRGLQ,Non-Financial Sector Debt (% of GDP) - Korea
DEBNFSPGSAGLQ,Non-Financial Sector Debt (% of GDP) - South Africa
DEBPNFPGIDGLQ,Private Non-Financial Sector Debt (% of GDP) - Indonesia
DMCBRMXABSGLA,Crude Birth Rate - Mexico
DMCDRTHABSGLA,Crude Death Rate - Thailand 
DMCDRUKABSGLA,Crude Death Rate - UK
DMCRNFRPERGLA,Crude Rate of Natural Change of Population - France
DMFPRIDABSGLA,Female Population of Reproductive Age - Indonesia
DMFPRRUABSGLA,Female Population of Reproductive Age - Russia
DMFPRTHABSGLA,Female Population of Reproductive Age - Thailand 
DMIMRCHABSGLA,Infant Mortality Rate  - China
DMIMRSAABSGLA,Infant Mortality Rate  - South Africa 
DMIMRUSABSGLA,Infant Mortality Rate  - USA
DMMEAUSABSGLA,Median Age of Population - USA
DMPODUSABSGLA,Population Density - USA
DMPOPIDABSGLA,Total Population by Sex - Indonesia
DMPOPITABSGLA,Total Population by Sex - Italy
DMPOPMXABSGLA,Total Population by Sex - Mexico
DMPOPRUPERGLA,Population Change - Russia
DMPOPSAABSGLA,Total Population by Sex - South Africa 
DMRPCINPERGLA,Rate of Population Change - India
ENCOCNSFCH11A,"Coal Consumption - Fertilisers, Chemicals (Annual)"
ENCOCNSOTR11A,"Coal Consumption - Others, Non-Coking Coal Imports (Annual)"
ENCODISNCF11M,Domestic Coal Dispatch - Northern Coalfields (Monthly)
ENCOLGDGSP11M,Domestic Lignite Dispatch - Gujarat State Petronet Ltd (Monthly)
DEBHHDPGUKGLQ,Household Sector Debt (% of GDP) - United Kingdom
DEBNFCPGEUGLQ,Non-Financial Corporations Debt (% of GDP) - Euro area
DEBPNFPGJPGLQ,Private Non-Financial Sector Debt (% of GDP) - Japan
DMCDRITABSGLA,Crude Death Rate - Italy
DMFPRMXABSGLA,Female Population of Reproductive Age - Mexico
DMPODCHABSGLA,Population Density - China
DMPODUKABSGLA,Population Density - UK
DMRPCPLPERGLA,Rate of Population Change - Poland
DMSERBRABSGLA,Sex Ratio of the Total Population - Brazil
ENCOCOKPRO11A,Coking Coal Production (Annual)
ENCODISWCF11M,Domestic Coal Dispatch - Western Coalfields (Monthly)
ENCOLGDROD11M,Domestic Lignite Dispatch (Monthly)
DMRPCSAPERGLA,Rate of Population Change - South Africa 
DMSERPLABSGLA,Sex Ratio of the Total Population - Poland
ENCOLGPNLC11M,Domestic Lignite Production - Neyveli Lignite Corp (Monthly)
ENCOLGPRSM11M,Domestic Lignite Production - Rajasthan State Mines and Minerals Ltd (Monthly)
ENCOPROCFF11M,Domestic Coal Production - Central Coal Fields (Monthly)
ENCOPROSEC11M,Domestic Coal Production - South Eastern Coalfields (Monthly)
ENCOTOTDIS11M,Domestic Coal Dispatch (Monthly)
ENELCUTHSS11M,Monthly Capacity utilisation (PLF) - thermal power (state sector)
ENELHYCGEN11M,"Monthly Electricity generation (hydro, central sector)"
ENELHYPGEN11M,"Monthly Electricity generation (hydro, private sector)"
ENELHYSCAP11M,"Monthly Electricity generation capacity (hydro, state sector)"
ENELHYVGEN11M,"Monthly Electricity generation (hydro, private utilities)"
ENELIMPBHU11M,Monthly Electricity generation (imports from Bhutan)
ENELPVTCAP11M,Monthly Electricity generation capacity (Private sector)
ENELTHECAP11M,Monthly Electricity generation capacity (thermal energy)
ENELTHPGEN11M,"Monthly Electricity generation (thermal, private sector)"
ENELTHVCAP11M,"Monthly Electricity generation capacity (thermal, private utilities)"
ENELTTGNCA11M,Monthly Total Electricity Generation (CEA)
ENPTAEPPET11M,Average Export Price - Petrol
ENPTATFIMP11M,Imports of Petroleum Products (Volume) - Aviation Turbine Fuel (Monthly)
ENCOOTRPRO11A,"Coal Production - Others, Captives (Annual)"
ENPTCOKPRO11A,Production of Petroleum Products - Petroleum Coke (Annual)
ENPTDSLEXP11M,Exports of Petroleum Products (Volume) - Diesel (Monthly)
ENPTDSLPRO11M,Production of Petroleum Products - Diesel (Monthly)
ENPTFOLIMP11M,Imports of Petroleum Products (Volume) - Fuel Oil (Monthly)
ENPTKEREXP11A,Exports of Petroleum Products (Volume) - Kerosene (Annual)
ENPTKERIMP11M,Imports of Petroleum Products (Volume) - Kerosene (Monthly)
ENPTLPGEXP11A,Exports of Petroleum Products (Volume) - LPG (Annual)
ENPTNAPIMP11M,Imports of Petroleum Products (Volume) - Naphtha (Monthly)
ENPTNETIMP11M,"Net Imports of All Petroleum Products (Volume, Monthly)"
ENPTNTGPRO11M,"Domestic Natural Gas Production (PPAC, Monthly)"
ENPTOTREXP11A,Exports of Petroleum Products (Volume) - Others (Annual)
ENPTOTRIMP11M,Imports of Petroleum Products (Volume) - Others (Monthly)
ENPTPETCON11A,Consumption of Petroleum Products - Petrol (Annual)
ENPTPETPRO11M,Production of Petroleum Products - Petrol (Monthly)
ENPTPTINTP11M,Petrol FOB International Price
ENPTRETOUT11A,Number of Retail Fuel Outlets
ENPTTOTIMP11A,"Total Petroleum Imports (Volume, Annual)"
ENPTTOTPRO11A,"Production of All Petroleum Products (PPAC, Annual)"
EXBPCDCOMM11A,"BoP: Miscellaneous Services Receipts - Communication Services (Annual, USD)"
EXBPCDCOMM11Q,"BoP: Miscellaneous Services Receipts - Communication Services (Quarterly, USD)"
EXBPCDCOMP11A,"BoP: Compensation of Employees (Receipts) (Annual, USD)"
EXBPCDIDIE11M,Foreign Direct Investment in India - Equity (Monthly)
EXBPCDIDIE11Q,"BoP: Foreign Direct Investment in India - Equity (Inflows, Quarterly, USD)"
EXBPCDIFDI11Q,"BoP: Foreign Direct Investment in India (Inflows, Quarterly, USD)"
EXBPCDIGDR11Q,"BoP: Portfolio Investment in India - ADRs/GDRs (Inflows, Quarterly, USD)"
EXBPCDINVI11A,"BoP: Invisibles Receipts (Annual, USD)"
EXBPCDODIE11Q,"BoP: Foreign Direct Investment Abroad - Equity (Inflows, Quarterly, USD)"
EXBPCDOEXA11Q,"BoP: External Assistance by India (Inflows, Quarterly, USD)"
EXBPCDOTRC11A,"BoP: Other Capital (Inflows, Annual, USD)"
EXBPCDPTRF11A,"BoP: Private Transfer Receipts (Annual, USD)"
EXBPCDTRAN11Q,"BoP: Services Receipts - Transportation (Quarterly, USD)"
EXBPCDTRAV11Q,"BoP: Services Receipts - Travel (Quarterly, USD)"
EXBPCRBANK11Q,"BoP: Banking Capital (Inflows, Quarterly, INR)"
EXBPCRCAPA11A,"BoP: Total Inflows under Capital Account (Inflows, Annual, INR)"
EXBPCDIFPI11A,"BoP: Foreign Portfolio Investment in India (Inflows, Annual, USD)"
EXBPCDSOFT11Q,"BoP: Miscellaneous Services Receipts - Software Services (Quarterly, USD)"
EXBPCRCBLI11Q,"BoP: Liabilities of Commercial Banks (Inflows, Quarterly, INR)"
EXBPCRCURR11A,"BoP: Total Current Account Receipts (Annual, INR)"
EXBPCRFINS11A,"BoP: Miscellaneous Services Receipts - Financial Services (Annual, INR)"
DMPOPUKPERGLA,Population Change - UK
DMRPCITPERGLA,Rate of Population Change - Italy
ENCOLGPGHC11M,Domestic Lignite Production - Gujarat Heavy Chemicals Ltd (Monthly)
ENCOPHCLST11A,Pithead Closing Stocks of Coal (Annual)
ENELHYIGEN11M,"Monthly Electricity generation (hydro, IPPs)"
ENPTAECRPR11M,Average Crude Oil Import Price (monthly)
ENELCUNUCL11M,Monthly Capacity utilisation (PLF) - nuclear power
ENPTAIPFUO11M,Average Import Price - Fuel Oil
ENPTDSLEXP11A,Exports of Petroleum Products (Volume) - Diesel (Annual)
ENPTLDOPRO11A,Production of Petroleum Products - Light Diesel Oil (Annual)
ENPTNAPEXP11M,Exports of Petroleum Products (Volume) - Naphtha (Monthly)
EXBPCDCBLO11Q,"BoP: Commercial Borrowings by India (Inflows, Quarterly, USD)"
EXBPCDSOFT11A,"BoP: Miscellaneous Services Receipts - Software Services (Annual, USD)"
EXBPCRCBLT11A,"BoP: Commercial Borrowings (Medium and Long Term) (Inflows, Annual, INR)"
EXBPCRFINV11Q,"BoP: Foreign Investment (Inflows, Quarterly, INR)"
AGARCARDMM11A,Gross sown area under Cardamom
AGARCOARSE11A,Gross Sown area under Coarse Cereals
AGARKCCOCE19W,Estimated weekly acreage under Kharif crops (2019-20 season) - Coarse Cereals
AGARKCARHR19W,Estimated weekly acreage under Kharif crops (2019-20 season) - Arhar (Tur)
AGARKCCSTR19W,Estimated weekly acreage under Kharif crops (2019-20 season) - Castor seed
AGARKCMUNG19W,Estimated weekly acreage under Kharif crops (2019-20 season) - Moong
AGARKCRICE18W,Estimated weekly acreage under Kharif crops (2018-19 season) - Paddy
AGARKCSNFR19W,Estimated weekly acreage under Kharif crops (2019-20 season) - Sunflower
AGARKCSYBN18W,Estimated weekly acreage under Kharif crops (2018-19 season) - Soybean
AGARKCTOTL19W,Estimated weekly acreage under Kharif crops (2019-20 season) - All Kharif crops
AGARKNARHR18W,Normal weekly acreage under Kharif crops (2018-19 season) - Arhar (Tur)
AGARKNFDGN18W,Normal weekly acreage under Kharif crops (2018-19 season) - Foodgrains
AGARKNJOWR18W,Normal weekly acreage under Kharif crops (2018-19 season) - Jowar
AGARKNJOWR19W,Normal weekly acreage under Kharif crops (2019-20 season) - Jowar
AGARKNMAIZ18W,Normal weekly acreage under Kharif crops (2018-19 season) - Maize
AGARKNOLSD18W,Normal weekly acreage under Kharif crops (2018-19 season) - Oil seeds
AGARKNOTPL18W,Normal weekly acreage under Kharif crops (2018-19 season) - Other Pulses
AGARKNPULS19W,Normal weekly acreage under Kharif crops (2019-20 season) - Pulses
AGARKNRICE18W,Normal weekly acreage under Kharif crops (2018-19 season) - Paddy
AGARKNSMMI18W,Normal weekly acreage under Kharif crops (2018-19 season) - Small Millets
AGARKNSSMM19W,Normal weekly acreage under Kharif crops (2019-20 season) - Seasmum
AGARKNSUGR18W,Normal weekly acreage under Kharif crops (2018-19 season) - Sugarcane
AGARKNCOCE18W,Normal weekly acreage under Kharif crops (2018-19 season) - Coarse Cereals
AGARKNRICE19W,Normal weekly acreage under Kharif crops (2019-20 season) - Paddy
AGARKPARHR19W,Estimated weekly acreage under Kharif crops in year ago period (2019-20 season) - Arhar (Tur)
AGARKPCOCE19W,Estimated weekly acreage under Kharif crops in year ago period (2019-20 season) - Coarse Cereals
AGARKPCOTN19W,Estimated weekly acreage under Kharif crops in year ago period (2019-20 season) - Cotton
AGARKPMUNG18W,Estimated weekly acreage under Kharif crops in year ago period (2018-19 season) - Moong
AGARKPMUNG19W,Estimated weekly acreage under Kharif crops in year ago period (2019-20 season) - Moong
AGARKPOLSD18W,Estimated weekly acreage under Kharif crops in year ago period (2018-19 season) - Oil seeds
AGARKPOTPL18W,Estimated weekly acreage under Kharif crops in year ago period (2018-19 season) - Other Pulses
AGARKPPULS19W,Estimated weekly acreage under Kharif crops in year ago period (2019-20 season) - Pulses
AGARKPSMMI18W,Estimated weekly acreage under Kharif crops in year ago period (2018-19 season) - Small Millets
AGARKPSSMM18W,Estimated weekly acreage under Kharif crops in year ago period (2018-19 season) - Seasmum
AGARKPSUGR18W,Estimated weekly acreage under Kharif crops in year ago period (2018-19 season) - Sugarcane
AGARKPURAD19W,Estimated weekly acreage under Kharif crops in year ago period (2019-20 season) - Urad
AGARPOTATO11A,Gross sown area under Potato
AGARSANHMP11A,Gross Sown area under Sannhemp
AGARSUGCNI11A,Share of Irrigated area under Sugarcane
AGARSWPOTA11A,Gross sown area under Sweet Potato
AGARTOBCOI11A,Share of Irrigated area under Tobacco
AGLSMEATTT11A,Production of Meat
AGLSMILKCO11A,Production of Cow Milk
AGLSMILKTT11A,Production of Milk
AGLSMULEST11A,Population of Mules
AGLSPIGSTT11A,Population of Pigs
AGLSSHEEPT11A,Population of Sheep
AGMTFERTMK11A,Total Fertiliser Imports (K)
AGPRARHARK11A,Production of Arhar - Kharif
AGPRCHILLI11A,Production of Chillies (Dry)
AGPRFDGRNR11A,Production of Foodgrains - Rabi
AGPRGRAMRT11A,Production of Gram - Rabi
AGPRGRDNUT11A,Production of Groundnut
AGPRJOWARK11A,Production of Jowar - Kharif
AGPRMAIZER11A,Production of Maize - Rabi
AGPRMASURT11A,Production of Masur
AGPRMSPJUT11A,Minimum Support Price of Jute
AGPRMSPSAF11A,Minimum Support Price of Safflower
AGPRMUSTRR11A,Production of Rapeseed/Mustard - Rabi
AGPROILSDR11A,Production of Oilseeds - Rabi
AGPROTRPUK11A,Production of Other Pulses - Kharif
AGPROTRPUL11A,Production of Other Pulses
AGPRRICERT11A,Production of Rice - Rabi
AGPRTOBACO11A,Production of Tobacco
AGPRURADRT11A,Production of Urad - Rabi
AGSTBUFDGN11Q,Reserve stock level for Foodgrains
AGSTPROCER11A,Procurement of Foodgrains  - Coarse Cereals
AGSTWHEATT11Q,Stocks of Wheat with FCI (Quarterly)
AGVONLIVST11A,Value of Output from Livestock - Nominal (2011-12 base year)
AGYLBAJRAT11A,Bajra Yield
AGYLBANANA17A,Banana Yield
AGYLCASHEW15A,Cashewnut Yield
AGYLCOFFEE11A,Coffee Yield
AGYLCORIDR24A,Coriander Yield
AGYLJUTMES11A,Jute and Mesta Yield
AGYLSOYBEN11A,Soybean Yield
AGARNETTOT11A,Net sown area under all Crops
AGARPULSEI11A,Share of Irrigated area under Pulses
AGARRICETT11A,Gross Sown area under Rice
AGINFERTCK11A,Total Fertiliser Consumption (K)
AGPRCOFFEE11A,Production of Coffee
AGPRMSPSBB11A,Minimum Support Price of Soybean (black)
AGPRMSPURD11A,Minimum Support Price of Urad
AGSTOFTWHE11A,Offtake of Foodgrains - Wheat
AGVONAGRTT11A,Value of Output from Agriculture and Allied Activities - Nominal (2011-12 base year)
AGYLSUNFLO11A,Sunflower Yield
AGYLTEATEA11A,Tea Yield
AGPRFDGRAN11A,Production of Foodgrains
AGPRNIGSDK11A,Production of Nigerseed - Kharif
AGYLCARDMM25A,Cardamom Yield
BKAONFCICF11M,"Scheduled Commercial Banks Credit to Industry  - Fertilisers (Monthly, Old Classification)"
BKAONFCICH11M,"Scheduled Commercial Banks Credit to Industry  - Chemicals (Monthly, Old Classification)"
BKAONFCIEN11M,"Scheduled Commercial Banks Credit to Industry  - Engineering (Monthly, Old Classification)"
BKAONFCIFP11M,"Scheduled Commercial Banks Credit to Industry  - Food Processing (Monthly, Old Classification)"
BKAONFCIIR11M,"Scheduled Commercial Banks Credit to Industry  - Roads (Monthly, Old Classification)"
BKAONFCILP11M,"Scheduled Commercial Banks Credit to Industry  - Leather and Leather Products (Monthly, Old Classification)"
BKAONFCITX11M,"Scheduled Commercial Banks Credit to Industry  - Textiles (Monthly, Old Classification)"
BKAONFCIWP11M,"Scheduled Commercial Banks Credit to Industry  - Wood and Wood Products (Monthly, Old Classification)"
BKAONFCJTX11M,"Scheduled Commercial Banks Credit to Industry  - Jute Textiles (Monthly, Old Classification)"
BKAONFCOEN11M,"Scheduled Commercial Banks Credit to Industry  - Other Engineering (Monthly, Old Classification)"
BKAONFCPEL11M,"Non-Food Credit of Scheduled Commercial Banks - Education Loans (Monthly, Old Classification)"
BKAONFCPLS11M,"Non-Food Credit of Scheduled Commercial Banks - Loans against Shares, Bonds etc (Monthly, Old Classification)"
BKAONFCSSH11M,"Non-Food Credit of Scheduled Commercial Banks - Shipping (Monthly, Old Classification)"
BKAONFCSVC11M,"Non-Food Credit of Scheduled Commercial Banks - Services (Monthly, Old Classification)"
BKAOPSLEDU11M,"Priority Sector Loans of Scheduled Commercial Banks - Education (Monthly, Old Classification)"
BKAOPSLEXP11M,"Priority Sector Loans of Scheduled Commercial Banks - Export Credit (Monthly, Old Classification)"
BKAOPSLMEM11M,"Priority Sector Loans of Scheduled Commercial Banks - Micro and Small Enterprises (Manufacturing) (Monthly, Old Classification)"
