IDENTIFIER,TITLE
DMTFRPHABSGLA,Total Fertility Rate - Phillipines
DMTFRSAABSGLA,Total Fertility Rate - South Africa
DMTFRUKABSGLA,Total Fertility Rate - UK
ENELCENGEN11M,Monthly Electricity generation (Central sector)
ENELCONGEN11M,Monthly Electricity generation (conventional sources)
ENELCUNUCL11M,Monthly Capacity utilisation (PLF) - nuclear power
ENELCUTHCS11M,Monthly Capacity utilisation (PLF) - thermal power (central sector)
ENELCUTHIP11M,Monthly Capacity utilisation (PLF) - thermal power (IPPs)
ENELDEMAND11M,Electricity Demand (Monthly)
ENELHYCGEN11M,"Monthly Electricity generation (hydro, central sector)"
ENELHYICAP11M,"Monthly Electricity generation capacity (hydro, IPPs)"
ENELHYSCAP11M,"Monthly Electricity generation capacity (hydro, state sector)"
ENELHYVCAP11M,"Monthly Electricity generation capacity (hydro, private utilities)"
ENELIMPBHU11M,Monthly Electricity generation (imports from Bhutan)
ENELIPPCAP11M,Monthly Electricity generation capacity (IPPs sector)
ENELIPPGEN11M,Monthly Electricity generation (IPPs sector)
ENELPVTGEN11M,Monthly Electricity generation (Private sector)
ENELSTACAP11M,Monthly Electricity generation capacity (State sector)
ENELTHECAP11M,Monthly Electricity generation capacity (thermal energy)
ENELTHICAP11M,"Monthly Electricity generation capacity (thermal, IPPs)"
ENELTHPGEN11M,"Monthly Electricity generation (thermal, private sector)"
ENELTHSGEN11M,"Monthly Electricity generation (thermal, state sector)"
ENELTHVGEN11M,"Monthly Electricity generation (thermal, private utilities)"
ENELTOTGEN11M,Electricity Generation (Monthly)
ENELTTGNCA11M,Monthly Total Electricity Generation (CEA)
ENPTATFEXP11A,Exports of Petroleum Products (Volume) - Aviation Turbine Fuel (Annual)
ENPTATFPRO11A,Production of Petroleum Products - Aviation Turbine Fuel (Annual)
ENPTBITCON11M,Consumption of Petroleum Products - Bitumen (Monthly)
ENELTHVCAP11M,"Monthly Electricity generation capacity (thermal, private utilities)"
ENPTBITEXP11A,Exports of Petroleum Products (Volume) - Bitumen (Annual)
ENPTBITIMP11M,Imports of Petroleum Products (Volume) - Bitumen (Monthly)
ENPTCOKPRO11A,Production of Petroleum Products - Petroleum Coke (Annual)
ENPTCRUPRO11A,Domestic Crude Oil Production (Annual)
ENPTDSINTP11M,Diesel FOB International Price
ENPTFOLPRO11M,Production of Petroleum Products - Fuel Oil & LSHS (Monthly)
ENPTFOLEXP11M,Exports of Petroleum Products (Volume) - Fuel Oil (Monthly)
DMIMRPLABSGLA,Infant Mortality Rate  - Poland
DMLEBFRABSGLA,Life Expectancy at Birth - France
DMLEBMXABSGLA,Life Expectancy at Birth - Mexico
DMLEBSKABSGLA,Life Expectancy at Birth - South Korea
DMMEARUABSGLA,Median Age of Population - Russia
DMMEASKABSGLA,Median Age of Population - South Korea
DMMEATHABSGLA,Median Age of Population - Thailand
DMPODEUABSGLA,Population Density - Euro Area
DMPODFRABSGLA,Population Density - France
DMPODMXABSGLA,Population Density - Mexico
DMPODPHABSGLA,Population Density - Phillipines
DMPODRUABSGLA,Population Density - Russia
DMPODSKABSGLA,Population Density - South Korea
DMPOPBRABSGLA,Total Population by Sex - Brazil
DMPOPCHABSGLA,Total Population by Sex - China
DMPOPGEABSGLA,Total Population by Sex - Germany
DMPOPPHABSGLA,Total Population by Sex - Phillipines
DMPOPSKABSGLA,Total Population by Sex - South Korea
DMPOPUSABSGLA,Total Population by Sex - USA
DMSERITABSGLA,Sex Ratio of the Total Population - Italy
DMSERJPABSGLA,Sex Ratio of the Total Population - Japan
DMSERPLABSGLA,Sex Ratio of the Total Population - Poland
DMSERSAABSGLA,Sex Ratio of the Total Population - South Africa
DMSERTHABSGLA,Sex Ratio of the Total Population - Thailand
DMTFRCHABSGLA,Total Fertility Rate - China
DMTFREUABSGLA,Total Fertility Rate - Euro Area
DMTFRFRABSGLA,Total Fertility Rate - France
DMTFRPLABSGLA,Total Fertility Rate - Poland
DMTFRSKABSGLA,Total Fertility Rate - South Korea
DMTFRTHABSGLA,Total Fertility Rate - Thailand
DMPOPUKABSGLA,Total Population by Sex - UK
DMTFRRUABSGLA,Total Fertility Rate - Russia
DMTFRUSABSGLA,Total Fertility Rate - USA
ENCOTOTPRO11M,Coal Production (Monthly)
ENELCENCAP11M,Monthly Electricity generation capacity (Central sector)
ENELCONCAP11M,Monthly Electricity generation capacity (conventional sources)
ENELCONSMD11M,Electricity Consumed (Monthly)
ENELCUTHPU11M,Monthly Capacity utilisation (PLF) - thermal power (private utilities)
ENELHYDCAP11M,Monthly Electricity generation capacity (hydro energy)
ENELHYDGEN11M,Monthly Electricity generation (hydro energy)
ENELHYIGEN11M,"Monthly Electricity generation (hydro, IPPs)"
ENELHYPCAP11M,"Monthly Electricity generation capacity (hydro, private sector)"
ENELHYVGEN11M,"Monthly Electricity generation (hydro, private utilities)"
ENELNUCCAP11M,Monthly Electricity generation capacity (nuclear energy)
ENELNUCGEN11M,Monthly Electricity generation (nuclear energy)
ENELPUTCAP11M,Monthly Electricity generation capacity (Private utilities)
ENELPUTGEN11M,Monthly Electricity generation (Private utilities)
ENELPVTCAP11M,Monthly Electricity generation capacity (Private sector)
ENELSTAGEN11M,Monthly Electricity generation (State sector)
ENELTHCCAP11M,"Monthly Electricity generation capacity (thermal, central sector)"
ENELTHCGEN11M,"Monthly Electricity generation (thermal, central sector)"
ENELTHEGEN11M,Monthly Electricity generation (thermal energy)
ENELTHIGEN11M,"Monthly Electricity generation (thermal, IPPs)"
ENELTHSCAP11M,"Monthly Electricity generation capacity (thermal, state sector)"
ENPTATFCON11A,Consumption of Petroleum Products - Aviation Turbine Fuel (Annual)
ENPTATFCON11M,Consumption of Petroleum Products - Aviation Turbine Fuel (Monthly)
ENPTATFEXP11M,Exports of Petroleum Products (Volume) - Aviation Turbine Fuel (Monthly)
ENPTATFIMP11A,Imports of Petroleum Products (Volume) - Aviation Turbine Fuel (Annual)
ENPTATFIMP11M,Imports of Petroleum Products (Volume) - Aviation Turbine Fuel (Monthly)
ENPTATFPRO11M,Production of Petroleum Products - Aviation Turbine Fuel (Monthly)
ENPTBITCON11A,Consumption of Petroleum Products - Bitumen (Annual)
ENELTHPCAP11M,"Monthly Electricity generation capacity (thermal, private sector)"
ENPTBITEXP11M,Exports of Petroleum Products (Volume) - Bitumen (Monthly)
ENPTBITIMP11A,Imports of Petroleum Products (Volume) - Bitumen (Annual)
ENPTBITPRO11A,Production of Petroleum Products - Bitumen (Annual)
ENPTBITPRO11M,Production of Petroleum Products - Bitumen (Monthly)
ENPTCOKCON11A,Consumption of Petroleum Products - Petroleum Coke (Annual)
ENPTCOKCON11M,Consumption of Petroleum Products - Petroleum Coke (Monthly)
ENPTCOKEXP11M,Exports of Petroleum Products (Volume) - Petroleum Coke (Monthly)
ENPTCOKIMP11A,Imports of Petroleum Products (Volume) - Petroleum Coke (Annual)
ENPTCOKIMP11M,Imports of Petroleum Products (Volume) - Petroleum Coke (Monthly)
ENPTCRUDPR11M,Crude Oil Production (Monthly)
ENPTDSLCON11A,Consumption of Petroleum Products - Diesel (Annual)
ENPTDSLIMP11A,Imports of Petroleum Products (Volume) - Diesel (Annual)
ENPTDSLIMP11M,Imports of Petroleum Products (Volume) - Diesel (Monthly)
ENPTDSLPRO11M,Production of Petroleum Products - Diesel (Monthly)
ENPTFOLCON11M,Consumption of Petroleum Products - Fuel Oil & LSHS (Monthly)
ENPTFOLEXP11A,Exports of Petroleum Products (Volume) - Fuel Oil (Annual)
ENPTFOLIMP11A,Imports of Petroleum Products (Volume) - Fuel Oil (Annual)
ENPTHSDCON11A,State wise Diesel sales (annual)
ENPTIBCRPR11M,Average price of Indian basket of Crude Oil (Monthly)
ENPTKERCON11A,Consumption of Petroleum Products - Kerosene (Annual)
DMPODIDABSGLA,Population Density - Indonesia
DMPOPMXABSGLA,Total Population by Sex - Mexico
DMPODCHABSGLA,Population Density - China
ENELCUTHRM11M,Monthly Capacity utilisation (PLF) - thermal power
ENELHYPGEN11M,"Monthly Electricity generation (hydro, private sector)"
ENELHYSGEN11M,"Monthly Electricity generation (hydro, state sector)"
ENELPOWDEF11M,Electricity Supply Deficit (Monthly)
ENELRENGEN11M,Monthly Electricity Generation (renewable sources)
ENPTCOKEXP11A,Exports of Petroleum Products (Volume) - Petroleum Coke (Annual)
ENPTCOKPRO11M,Production of Petroleum Products - Petroleum Coke (Monthly)
ENPTCRUIMP11A,"Imports of Crude Oil (Volume, Annual)"
ENPTCRUIMP11M,"Imports of Crude Oil (Volume, Monthly)"
ENPTDSLCON11M,Consumption of Petroleum Products - Diesel (Monthly)
ENPTDSLEXP11A,Exports of Petroleum Products (Volume) - Diesel (Annual)
ENPTFOLIMP11M,Imports of Petroleum Products (Volume) - Fuel Oil (Monthly)
ENPTFOLPRO11A,Production of Petroleum Products - Fuel Oil & LSHS (Annual)
ENPTDSLPRO11A,Production of Petroleum Products - Diesel (Annual)
ENPTFOLCON11A,Consumption of Petroleum Products - Fuel Oil & LSHS (Annual)
ENPTDSLEXP11M,Exports of Petroleum Products (Volume) - Diesel (Monthly)
ENPTKERCON11M,Consumption of Petroleum Products - Kerosene (Monthly)
ENPTKEREXP11A,Exports of Petroleum Products (Volume) - Kerosene (Annual)
ENPTKEREXP11M,Exports of Petroleum Products (Volume) - Kerosene (Monthly)
ENPTKERIMP11A,Imports of Petroleum Products (Volume) - Kerosene (Annual)
ENPTKERIMP11M,Imports of Petroleum Products (Volume) - Kerosene (Monthly)
ENPTKERPRO11A,Production of Petroleum Products - Kerosene (Annual)
ENPTKERPRO11M,Production of Petroleum Products - Kerosene (Monthly)
ENPTLDOCON11A,Consumption of Petroleum Products - Light Diesel Oil (Annual)
ENPTLDOCON11M,Consumption of Petroleum Products - Light Diesel Oil (Monthly)
ENPTLDOEXP11A,Exports of Petroleum Products (Volume) - Light Diesel Oil (Annual)
ENPTLDOEXP11M,Exports of Petroleum Products (Volume) - Light Diesel Oil (Monthly)
ENPTLDOPRO11A,Production of Petroleum Products - Light Diesel Oil (Annual)
ENPTLDOPRO11M,Production of Petroleum Products - Light Diesel Oil (Monthly)
ENPTLPGCNS11A,State wise LPG sales (annual)
ENPTLPGCON11A,Consumption of Petroleum Products - LPG (Annual)
ENPTLPGCON11M,Consumption of Petroleum Products - LPG (Monthly)
ENPTLPGEXP11A,Exports of Petroleum Products (Volume) - LPG (Annual)
ENPTLPGEXP11M,Exports of Petroleum Products (Volume) - LPG (Monthly)
ENPTLPGIMP11A,Imports of Petroleum Products (Volume) - LPG (Annual)
ENPTLPGIMP11M,Imports of Petroleum Products (Volume) - LPG (Monthly)
ENPTLPGPRO11A,Production of Petroleum Products - LPG (Annual)
ENPTLPGPRO11M,Production of Petroleum Products - LPG (Monthly)
ENPTLUBCON11A,Consumption of Petroleum Products - Lubricants & Greases (Annual)
ENPTLUBCON11M,Consumption of Petroleum Products - Lubricants & Greases (Monthly)
ENPTLUBEXP11A,Exports of Petroleum Products (Volume) - Lube Oil & LOBs (Annual)
ENPTLUBEXP11M,Exports of Petroleum Products (Volume) - Lube Oil & LOBs (Monthly)
ENPTLUBIMP11A,Imports of Petroleum Products (Volume) - Lube Oil & LOBs (Annual)
ENPTLUBIMP11M,Imports of Petroleum Products (Volume) - Lube Oil & LOBs (Monthly)
ENPTLUBPRO11A,Production of Petroleum Products - Lubricants & Greases (Annual)
ENPTLUBPRO11M,Production of Petroleum Products - Lubricants & Greases (Monthly)
ENPTMSSCON11A,State wise Petrol sales (annual)
ENPTNAPCON11A,Consumption of Petroleum Products - Naphtha (Annual)
ENPTNAPCON11M,Consumption of Petroleum Products - Naphtha (Monthly)
ENPTNAPEXP11M,Exports of Petroleum Products (Volume) - Naphtha (Monthly)
ENPTNAPIMP11A,Imports of Petroleum Products (Volume) - Naphtha (Annual)
ENPTNAPIMP11M,Imports of Petroleum Products (Volume) - Naphtha (Monthly)
ENPTNAPPRO11A,Production of Petroleum Products - Naphtha (Annual)
ENPTNAPPRO11M,Production of Petroleum Products - Naphtha (Monthly)
ENPTNETIMP11A,"Net Petroleum Imports (Volume, Annual)"
ENPTNETIMP11M,"Net Imports of All Petroleum Products (Volume, Monthly)"
ENPTNGASPR11M,Natural Gas Production (Monthly)
ENPTNTGCON11A,Domestic Natural Gas Consumption (Annual)
ENPTNTGCON11M,Domestic Natural Gas Consumption (Monthly)
ENPTNTGIMP11A,Natural Gas Imports (Annual)
ENPTNTGIMP11M,Natural Gas Imports (Monthly)
ENPTNTGPRO11A,"Domestic Natural Gas Production (PPAC, Annual)"
ENPTNTGPRO11M,"Domestic Natural Gas Production (PPAC, Monthly)"
ENPTOTRCON11M,Consumption of Petroleum Products - Others (Monthly)
ENPTOTREXP11A,Exports of Petroleum Products (Volume) - Others (Annual)
ENPTOTREXP11M,Exports of Petroleum Products (Volume) - Others (Monthly)
ENPTOTRIMP11A,Imports of Petroleum Products (Volume) - Others (Annual)
ENPTOTRIMP11M,Imports of Petroleum Products (Volume) - Others (Monthly)
ENPTOTRPRO11A,Production of Petroleum Products - Others (Annual)
ENPTOTRPRO11M,Production of Petroleum Products - Others (Monthly)
ENPTPETCON11A,Consumption of Petroleum Products - Petrol (Annual)
ENPTPETCON11M,Consumption of Petroleum Products - Petrol (Monthly)
ENPTPETEXP11A,Exports of Petroleum Products (Volume) - Petrol (Annual)
ENPTPETEXP11M,Exports of Petroleum Products (Volume) - Petrol (Monthly)
ENPTPETIMP11A,Imports of Petroleum Products (Volume) - Petrol (Annual)
ENPTPETIMP11M,Imports of Petroleum Products (Volume) - Petrol (Monthly)
ENPTPETPRO11A,Production of Petroleum Products - Petrol (Annual)
ENPTPETPRO11M,Production of Petroleum Products - Petrol (Monthly)
ENPTPRDEXP11A,"Exports of All Petroleum Products (Volume, Annual)"
ENPTPRDIMP11M,"Imports of All Petroleum Products (Volume, Monthly)"
ENPTPTINTP11M,Petrol FOB International Price
ENPTREFCAP11A,All India Installed Refinery Capacity
ENPTREFIPR11M,Petroleum Product Production (Monthly)
ENPTRETOUT11A,Number of Retail Fuel Outlets
ENPTSKOCON11A,State wise Kerosene sales (annual)
ENPTSTACON11A,State wise Petroleum product sales (annual)
ENPTTOTCON11A,Consumption of All Petroleum Products (Annual)
ENPTTOTCON11M,Consumption of All Petroleum Products (Monthly)
ENPTTOTIMP11A,"Total Petroleum Imports (Volume, Annual)"
ENPTTOTIMP11M,"Total Petroleum Imports (Volume, Monthly)"
ENPTTOTPRO11A,"Production of All Petroleum Products (PPAC, Annual)"
ENPTTOTPRO11M,"Production of All Petroleum Products (PPAC, Monthly)"
IFCAASAVKM11M,Number of Total Passenger Kilometers available on Scheduled Flights of Domestic Indian Airlines (Monthly)
IFCAASCRGO11A,Total Cargo carried on Scheduled Flights of Domestic Indian Airlines (Annual)
IFCAASCRGO11M,Total Cargo carried on Scheduled Flights of Domestic Indian Airlines (Monthly)
IFCAASFLKM11A,Number of Total Scheduled Flight Kilometers of Domestic Indian Airlines (Annual)
IFCAASHRFL11A,Number of Total Scheduled Flight Hours of Domestic Indian Airlines (Annual)
IFCAASHRFL11M,Number of Total Scheduled Flight Hours of Domestic Indian Airlines (Monthly)
IFCAASLOAD11A,Average Total Passenger Load Factor on Scheduled Flights of Domestic Indian Airlines (Annual)
IFCAASLOAD11M,Average Total Passenger Load Factor on Scheduled Flights of Domestic Indian Airlines (Monthly)
IFCAASNFLG11A,Number of All Scheduled Flights by Public Sector Airlines (Annual)
IFCAASNFLP11A,Number of All Scheduled Flights by Private Indian Airlines (Annual)
IFCAASNPAG11A,Number of Passengers carried by Public Sector Airlines on All Scheduled Flights (Annual)
IFCAASNPAP11A,Number of Passengers carried by Private Indian Airlines on All Scheduled Flights (Annual)
IFCAASNUFL11A,Number of Total Scheduled Flights of Domestic Indian Airlines (Annual)
IFCAASNUFL11M,Number of Total Scheduled Flights of Domestic Indian Airlines (Monthly)
IFCAASPASS11A,Number of Total Passengers on Scheduled Flights of Domestic Indian Airlines (Annual)
IFCAASPSKM11A,Number of Total Passenger Kilometers on Scheduled Flights of Domestic Indian Airlines (Annual)
IFCAASPSKM11M,Number of Total Passenger Kilometers on Scheduled Flights of Domestic Indian Airlines (Monthly)
IFCADPSGNS11M,Number of Domestic Passengers carried by Scheduled Operators on Non-Scheduled Flights (Monthly)
IFCADPSGTT11M,Number of Domestic Passengers carried by Scheduled Operators (Monthly)
IFCADSAVKM11A,Number of Domestic Passenger Kilometers available on Scheduled Flights (Annual)
IFCADSAVKM11M,Number of Domestic Passenger Kilometers available on Scheduled Flights (Monthly)
IFCADSCRGO11A,Total Domestic Cargo carried on Scheduled Flights (Annual)
IFCADSFLKM11A,Number of Domestic Scheduled Flight Kilometers (Annual)
IFCADSFLKM11M,Number of Domestic Scheduled Flight Kilometers (Monthly)
IFCADSHRFL11A,Number of Domestic Scheduled Flight Hours (Annual)
IFCADSHRFL11M,Number of Domestic Scheduled Flight Hours (Monthly)
IFCADSLOAD11A,Average Domestic Passenger Load Factor on Scheduled Flights (Annual)
IFCADSLOAD11M,Average Domestic Passenger Load Factor on Scheduled Flights (Monthly)
IFCADSNFLG11A,Number of Domestic Scheduled Flights by Public Sector Airlines (Annual)
IFCADSNPAG11A,Number of Passengers carried by Public Sector Airlines on Scheduled Domestic Flights (Annual)
IFCADSNPAP11A,Number of Passengers carried by Private Airlines on Scheduled Domestic Flights (Annual)
IFCADSNSFL11A,Fleet size of Non-Scheduled Aircraft Operators
IFCADSNSOP11A,Number of Non-Scheduled Aircraft Operators
IFCADSNUFL11A,Number of Domestic Scheduled Flights (Annual)
IFCADSNUFL11M,Number of Domestic Scheduled Flights (Monthly)
IFCADSPASS11A,Number of Domestic Passengers on Scheduled Flights (Annual)
IFCADSPASS11M,Number of Domestic Passengers on Scheduled Flights (Monthly)
IFCADSPSKM11A,Number of Domestic Passenger Kilometers on Scheduled Flights (Annual)
IFCADSPSKM11M,Number of Domestic Passenger Kilometers on Scheduled Flights (Monthly)
IFCADSSCFL11A,Fleet size of Scheduled Domestic Aircraft Operators
IFCADSSCOP11A,Number of Scheduled Aircraft Operators
IFCAISAVKM11A,Number of International Passenger Kilometers available on Scheduled Flights of Indian Airlines (Annual)
IFCAISAVKM11M,Number of International Passenger Kilometers available on Scheduled Flights of Indian Airlines (Monthly)
IFCAISFDAR11A,International Freight Arriving into India through Indian carriers (Annual)
IFCAISFDAR11M,International Freight Arriving into India through Indian carriers (Monthly)
IFCAISFDDP11A,International Freight Departing from India through Indian carriers (Annual)
IFCAISFDDP11M,International Freight Departing from India through Indian carriers (Monthly)
IFCAISFDTT11A,Total International Freight (Arrival plus Departure) through Indian carriers (Annual)
IFCAISFDTT11M,Total International Freight (Arrival plus Departure) through Indian carriers (Monthly)
IFCAISFIAR11A,International Freight Arriving into India through International carriers (Annual)
IFCAISFIAR11M,International Freight Arriving into India through International carriers (Monthly)
IFCAISFIDP11A,International Freight Departing from India through International carriers (Annual)
IFCAISFIDP11M,International Freight Departing from India through International carriers (Monthly)
IFCAISFITT11A,Total International Freight (Arrival plus Departure) through International carriers (Annual)
IFCAISFITT11M,Total International Freight (Arrival plus Departure) through International carriers (Monthly)
IFCAISFLKM11A,Number of International Scheduled Flight Kilometers of Indian Airlines (Annual)
IFCAISFLKM11M,Number of International Scheduled Flight Kilometers of Indian Airlines (Monthly)
IFCAISFNTA11A,Net International Freight Arriving into India (Annual)
IFCAISFNTA11M,Net International Freight Arriving into India (Monthly)
IFCAISFTAR11A,Total International Freight Arriving into India (Annual)
IFCAISFTAR11M,Total International Freight Arriving into India (Monthly)
IFCAISFTDP11A,Total International Freight Departing from India (Annual)
IFCAISFTDP11M,Total International Freight Departing from India (Monthly)
IFCAISFTTT11A,Total International Freight Arriving into or Departing from India (Annual)
IFCAISFTTT11M,Total International Freight Arriving into or Departing from India (Monthly)
IFCAISHRFL11A,Number of International Scheduled Flight Hours of Indian Airlines (Annual)
IFCAISHRFL11M,Number of International Scheduled Flight Hours of Indian Airlines (Monthly)
IFCAISLOAD11M,Average International Passenger Load Factor on Scheduled Flights of Indian Airlines (Monthly)
IFCAISNFLG11A,Number of International Scheduled Flights by Public Sector Airlines (Annual)
IFCAISNPAG11A,Number of Passengers carried by Public Sector Airlines on Scheduled International Flights (Annual)
IFCAISNPAP11A,Number of Passengers carried by Private Indian Airlines on Scheduled International Flights (Annual)
IFCAISCRGO11M,Total International Cargo carried on Scheduled Flights of Indian Airlines (Monthly)
IFCAISNFLP11A,Number of International Scheduled Flights by Private Indian Airlines (Annual)
IFCAISNUFL11A,Number of International Scheduled Flights of Indian Airlines (Annual)
IFCAISNUFL11M,Number of International Scheduled Flights of Indian Airlines (Monthly)
IFCAISPASS11A,Number of International Passengers on Scheduled Flights of Indian Airlines (Annual)
IFCAISPASS11M,Number of International Passengers on Scheduled Flights of Indian Airlines (Monthly)
IFCAISPDAR11A,International Passengers Arriving into India through Indian carriers (Annual)
IFCAISPDAR11M,International Passengers Arriving into India through Indian carriers (Monthly)
